tweet,sentiment
I am NOT in the mood for a long car drive,neg
suffering benadryl hangover this morning and a killer headache.... ugh!,neg
 im eating sliders at barjohnnys! (theyre pork tho not beef  still on the search...),neu
"oh dear, I`m being followed by someone that claims to help you stay young  the end is nigh",neg
 Lol... I`m craving Coldstone again.,neu
" b/c 'we' ONLY have Baby Phat, Phat Farm, Applebottoms & FUBU!! And they come up pretty WEAK!! Double",neg
almost died. Laptop screen was set to 100% brightness after I reinstalled Windows Vista. Got a headache now  #insanedefaults,neg
Sleep is not coming easy. Sleeping pills. Need them. Maybe this is why my mind is soo wild lately. No sleep=craziness. Proven fact!,neg
 I`m jealous. I have so let it slip what with the baby and all. Not sure I could even do a half right now,neg
Just saw up with my favorites and surprisingly it was way too sad,neg
"Back from A&E, very nice Doctor diagnosed ligament damage, she felt I could still do my 5k run, but it might take me 10 days to heal",pos
"just got up, smoking a cig and drinking coffee.. i need to start working on my final project for the univ",neu
I wish I lived in a city.,neu
Last night in Australia,neu
that`s a whole lot of rainstorm goin` on,neu
I guess I am too freaky for followers.,neg
Squashed Foot,neu
 happy early mothers day!!!!,pos
wishes he could be with that special someone....,pos
i love you mooorrreeee,pos
Happy Star Wars day everyone,pos
No more high school...,neu
I have to goto work now ahhh kill me  my life isn`t going the way I want it too atm. Ta ta kids x,neg
"off to JFK (again), should be in texas soon.",neu
 indeed! we are trying to get it in the Trending topics for the fun of it  all Some Twilighters idea!,pos
 good luck!! How exciting,pos
I just banged my elbow and its bleeding  owwiee,neg
 No html converter on there   Think we`re going with  http://bit.ly/3pJNC  `cause it took 5 min. to get working.,neu
Chillin Waitin For My Hunny Baby To Get Out Of Work!!!!!  To Get My Drink On While Finishin Da Song I Have,pos
_crow he`s happy because hs is there haha I know we would be,pos
